date,country,H,I,S,M,D
2021-07-10,Australia,0,0,0,21,4
2021-07-10,Sweden,0,0,0,7,3
2021-07-11,Australia,0,0,0,21,4
2021-07-11,Sweden,0,0,0,7,3
2021-07-12,Australia,0,0,0,21,4
2021-07-12,Sweden,0,0,0,7,3
2021-07-13,Australia,0,0,0,21,4
2021-07-13,Sweden,0,0,0,7,3
2021-07-14,Australia,0,0,0,21,4
2021-07-14,Sweden,0,0,0,7,3
2021-07-15,Australia,0,0,0,21,4
2021-07-15,Sweden,0,0,0,7,3
2021-07-16,Australia,0,0,0,21,4
2021-07-16,Sweden,0,0,0,7,3
2021-07-17,Australia,0,0,0,21,4
2021-07-17,Sweden,0,0,0,7,3
2021-07-18,Australia,0,0,0,21,4
2021-07-18,Sweden,0,0,0,7,3
2021-07-19,Australia,0,0,0,21,4
2021-07-19,Sweden,0,0,0,7,3
2021-07-20,Australia,0,0,0,21,4
2021-07-20,Sweden,0,0,0,7,3
2021-07-21,Australia,0,0,0,21,4
2021-07-21,Sweden,0,0,0,7,3
2021-07-22,Australia,0,0,0,21,4
2021-07-22,Sweden,0,0,0,7,3
2021-07-23,Australia,0,0,0,21,4
2021-07-23,Sweden,0,0,0,7,3
2021-07-24,Australia,0,0,0,21,4
2021-07-24,Sweden,0,0,0,7,3
2021-07-25,Australia,0,0,0,21,4
2021-07-25,Sweden,0,0,0,7,3
2021-07-26,Australia,0,0,0,21,4
2021-07-26,Sweden,0,0,0,7,3
2021-07-27,Australia,0,0,0,21,4
2021-07-27,Sweden,0,0,0,7,3
2021-07-28,Australia,0,0,0,21,4
2021-07-28,Sweden,0,0,0,7,3
2021-07-29,Australia,0,0,0,21,4
2021-07-29,Sweden,0,0,0,7,3
2021-07-30,Australia,0,0,0,21,4
2021-07-30,Sweden,0,0,0,7,3
2021-07-31,Australia,0,0,0,21,4
2021-07-31,Sweden,0,0,0,7,3
2021-08-01,Australia,0,0,0,21,4
2021-08-01,Sweden,0,0,0,7,3
2021-08-02,Australia,0,0,0,21,4
2021-08-02,Sweden,0,0,0,7,3
2021-08-03,Australia,0,0,0,21,4
2021-08-03,Sweden,0,0,0,7,3
2021-08-04,Australia,3,0,0,18,4
2021-08-04,Sweden,2,0,0,5,3
2021-08-05,Australia,3,2,0,16,4
2021-08-05,Sweden,1,1,0,5,3
2021-08-06,Australia,2,4,0,15,4
2021-08-06,Sweden,1,1,0,5,3
2021-08-07,Australia,5,4,0,12,4
2021-08-07,Sweden,2,1,0,4,3
2021-08-08,Australia,4,5,0,12,4
2021-08-08,Sweden,2,1,0,4,3
2021-08-09,Australia,2,5,0,14,4
2021-08-09,Sweden,2,0,0,5,3
2021-08-10,Australia,2,3,0,16,4
2021-08-10,Sweden,0,2,0,5,3
2021-08-11,Australia,0,5,0,16,4
2021-08-11,Sweden,0,2,0,5,3
2021-08-12,Australia,0,4,1,16,4
2021-08-12,Sweden,0,2,0,5,3
2021-08-13,Australia,0,2,2,17,4
2021-08-13,Sweden,0,2,0,5,3
2021-08-14,Australia,0,2,2,17,4
2021-08-14,Sweden,1,0,1,5,3
2021-08-15,Australia,0,0,3,18,4
2021-08-15,Sweden,1,0,1,5,3
2021-08-16,Australia,0,0,3,18,4
2021-08-16,Sweden,1,0,1,5,3
2021-08-17,Australia,2,0,3,16,4
2021-08-17,Sweden,0,1,1,5,3
2021-08-18,Australia,2,1,3,15,4
2021-08-18,Sweden,1,1,1,4,3
2021-08-19,Australia,4,1,3,13,4
2021-08-19,Sweden,1,1,1,4,3
2021-08-20,Australia,7,1,3,10,4
2021-08-20,Sweden,2,1,1,3,3
2021-08-21,Australia,7,1,3,10,4
2021-08-21,Sweden,1,1,1,4,3
2021-08-22,Australia,5,3,4,9,4
2021-08-22,Sweden,1,1,1,4,3
2021-08-23,Australia,2,6,4,9,4
2021-08-23,Sweden,1,1,1,4,3
2021-08-24,Australia,3,6,4,8,4
2021-08-24,Sweden,2,1,1,3,3
2021-08-25,Australia,3,7,4,7,4
2021-08-25,Sweden,2,0,2,3,3
2021-08-26,Australia,2,5,3,11,4
2021-08-26,Sweden,2,0,2,3,3
2021-08-27,Australia,2,2,4,13,4
2021-08-27,Sweden,2,0,2,3,3
2021-08-28,Australia,1,3,4,13,4
2021-08-28,Sweden,2,0,1,4,3
2021-08-29,Australia,0,3,4,14,4
2021-08-29,Sweden,2,0,1,4,3
2021-08-30,Australia,0,2,5,14,4
2021-08-30,Sweden,2,0,1,4,3
2021-08-31,Australia,0,2,5,14,4
2021-08-31,Sweden,2,0,1,4,3
2021-09-01,Australia,1,1,6,13,4
2021-09-01,Sweden,2,0,1,4,3
2021-09-02,Australia,1,0,6,14,4
2021-09-02,Sweden,2,0,1,4,3
2021-09-03,Australia,1,0,6,14,4
2021-09-03,Sweden,2,0,1,4,3
2021-09-04,Australia,1,0,6,14,4
2021-09-04,Sweden,2,0,1,4,3
2021-09-05,Australia,1,0,5,15,4
2021-09-05,Sweden,2,0,1,4,3
2021-09-06,Australia,1,0,5,15,4
2021-09-06,Sweden,2,0,1,4,3
2021-09-07,Australia,1,0,5,15,4
2021-09-07,Sweden,2,0,1,4,3
2021-09-08,Australia,1,0,5,15,4
2021-09-08,Sweden,2,0,0,5,3
2021-09-09,Australia,1,0,5,15,4
2021-09-09,Sweden,2,0,0,5,3
2021-09-10,Australia,0,1,3,17,4
2021-09-10,Sweden,2,0,0,5,3
2021-09-11,Australia,0,1,3,17,4
2021-09-11,Sweden,1,1,0,5,3
2021-09-12,Australia,0,1,2,18,4
2021-09-12,Sweden,1,1,0,5,3
2021-09-13,Australia,0,1,1,19,4
2021-09-13,Sweden,1,1,0,5,3
2021-09-14,Australia,0,0,1,20,4
2021-09-14,Sweden,1,1,0,5,3
2021-09-15,Australia,0,0,0,21,4
2021-09-15,Sweden,1,0,1,5,3
2021-09-16,Australia,0,0,0,21,4
2021-09-16,Sweden,1,0,1,5,3
2021-09-17,Australia,0,0,0,21,4
2021-09-17,Sweden,1,0,1,5,3
2021-09-18,Australia,0,0,0,21,4
2021-09-18,Sweden,1,0,1,5,3
2021-09-19,Australia,0,0,0,21,4
2021-09-19,Sweden,1,0,1,5,3
2021-09-20,Australia,0,0,0,21,4
2021-09-20,Sweden,1,0,1,5,3
2021-09-21,Australia,0,0,0,21,4
2021-09-21,Sweden,1,0,1,5,3
2021-09-22,Australia,0,0,0,21,4
2021-09-22,Sweden,1,0,1,5,3
2021-09-23,Australia,0,0,0,21,4
2021-09-23,Sweden,1,0,1,5,3
2021-09-24,Australia,0,0,0,21,4
2021-09-24,Sweden,1,0,1,5,3
2021-09-25,Australia,0,0,0,21,4
2021-09-25,Sweden,0,1,1,5,3
2021-09-26,Australia,0,0,0,21,4
2021-09-26,Sweden,0,1,1,5,3
2021-09-27,Australia,0,0,0,21,4
2021-09-27,Sweden,0,1,1,5,3
2021-09-28,Australia,0,0,0,21,4
2021-09-28,Sweden,0,1,1,5,3
2021-09-29,Australia,0,0,0,21,4
2021-09-29,Sweden,0,0,0,7,3
2021-09-30,Australia,0,0,0,21,4
2021-09-30,Sweden,0,0,0,7,3
2021-10-01,Australia,0,0,0,21,4
2021-10-01,Sweden,0,0,0,7,3
2021-10-02,Australia,0,0,0,21,4
2021-10-02,Sweden,0,0,0,7,3
2021-10-03,Australia,0,0,0,21,4
2021-10-03,Sweden,0,0,0,7,3
2021-10-04,Australia,0,0,0,21,4
2021-10-04,Sweden,0,0,0,7,3
2021-10-05,Australia,0,0,0,21,4
2021-10-05,Sweden,0,0,0,7,3
2021-10-06,Australia,0,0,0,21,4
2021-10-06,Sweden,0,0,0,7,3
2021-10-07,Australia,0,0,0,21,4
2021-10-07,Sweden,0,0,0,7,3
2021-10-08,Australia,0,0,0,21,4
2021-10-08,Sweden,0,0,0,7,3
2021-10-09,Australia,0,0,0,21,4
2021-10-09,Sweden,0,0,0,7,3
2021-10-10,Australia,0,0,0,21,4
2021-10-10,Sweden,0,0,0,7,3
2021-10-11,Australia,0,0,0,21,4
2021-10-11,Sweden,0,0,0,7,3
2021-10-12,Australia,0,0,0,21,4
2021-10-12,Sweden,0,0,0,7,3
2021-10-13,Australia,0,0,0,21,4
2021-10-13,Sweden,0,0,0,7,3
2021-10-14,Australia,0,0,0,21,4
2021-10-14,Sweden,0,0,0,7,3
2021-10-15,Australia,0,0,0,21,4
2021-10-15,Sweden,0,0,0,7,3
2021-10-16,Australia,0,0,0,21,4
2021-10-16,Sweden,0,0,0,7,3
2021-10-17,Australia,0,0,0,21,4
2021-10-17,Sweden,0,0,0,7,3
2021-10-18,Australia,0,0,0,21,4
2021-10-18,Sweden,0,0,0,7,3
2021-10-19,Australia,0,0,0,21,4
2021-10-19,Sweden,0,0,0,7,3
2021-10-20,Australia,0,0,0,21,4
2021-10-20,Sweden,0,0,0,7,3
2021-10-21,Australia,0,0,0,21,4
2021-10-21,Sweden,0,0,0,7,3
2021-10-22,Australia,0,0,0,21,4
2021-10-22,Sweden,0,0,0,7,3
2021-10-23,Australia,0,0,0,21,4
2021-10-23,Sweden,0,0,0,7,3
2021-10-24,Australia,0,0,0,21,4
2021-10-24,Sweden,0,0,0,7,3
2021-10-25,Australia,0,0,0,21,4
2021-10-25,Sweden,0,0,0,7,3
2021-10-26,Australia,0,0,0,21,4
2021-10-26,Sweden,0,0,0,7,3
2021-10-27,Australia,0,0,0,21,4
2021-10-27,Sweden,0,0,0,7,3
2021-10-28,Australia,0,0,0,21,4
2021-10-28,Sweden,0,0,0,7,3
2021-10-29,Australia,0,0,0,21,4
2021-10-29,Sweden,0,0,0,7,3
2021-10-30,Australia,0,0,0,21,4
2021-10-30,Sweden,0,0,0,7,3
2021-10-31,Australia,0,0,0,21,4
2021-10-31,Sweden,0,0,0,7,3
2021-11-01,Australia,0,0,0,21,4
2021-11-01,Sweden,0,0,0,7,3
2021-11-02,Australia,0,0,0,21,4
2021-11-02,Sweden,0,0,0,7,3
2021-11-03,Australia,0,0,0,21,4
2021-11-03,Sweden,0,0,0,7,3
2021-11-04,Australia,0,0,0,21,4
2021-11-04,Sweden,0,0,0,7,3
2021-11-05,Australia,0,0,0,21,4
2021-11-05,Sweden,0,0,0,7,3
2021-11-06,Australia,0,0,0,21,4
2021-11-06,Sweden,0,0,0,7,3
2021-11-07,Australia,0,0,0,21,4
2021-11-07,Sweden,0,0,0,7,3
2021-11-08,Australia,0,0,0,21,4
2021-11-08,Sweden,0,0,0,7,3
2021-11-09,Australia,0,0,0,21,4
2021-11-09,Sweden,0,0,0,7,3
2021-11-10,Australia,0,0,0,21,4
2021-11-10,Sweden,0,0,0,7,3
2021-11-11,Australia,0,0,0,21,4
2021-11-11,Sweden,0,0,0,7,3
2021-11-12,Australia,0,0,0,21,4
2021-11-12,Sweden,0,0,0,7,3
2021-11-13,Australia,0,0,0,21,4
2021-11-13,Sweden,0,0,0,7,3
2021-11-14,Australia,0,0,0,21,4
2021-11-14,Sweden,0,0,0,7,3
2021-11-15,Australia,0,0,0,21,4
2021-11-15,Sweden,0,0,0,7,3
2021-11-16,Australia,0,0,0,21,4
2021-11-16,Sweden,0,0,0,7,3
2021-11-17,Australia,0,0,0,21,4
2021-11-17,Sweden,0,0,0,7,3
2021-11-18,Australia,0,0,0,21,4
2021-11-18,Sweden,0,0,0,7,3
2021-11-19,Australia,0,0,0,21,4
2021-11-19,Sweden,0,0,0,7,3
2021-11-20,Australia,0,0,0,21,4
2021-11-20,Sweden,0,0,0,7,3
2021-11-21,Australia,0,0,0,21,4
2021-11-21,Sweden,0,0,0,7,3
2021-11-22,Australia,0,0,0,21,4
2021-11-22,Sweden,0,0,0,7,3
2021-11-23,Australia,0,0,0,21,4
2021-11-23,Sweden,0,0,0,7,3
2021-11-24,Australia,0,0,0,21,4
2021-11-24,Sweden,0,0,0,7,3
2021-11-25,Australia,0,0,0,21,4
2021-11-25,Sweden,0,0,0,7,3
2021-11-26,Australia,0,0,0,21,4
2021-11-26,Sweden,0,0,0,7,3
2021-11-27,Australia,0,0,0,21,4
2021-11-27,Sweden,0,0,0,7,3
2021-11-28,Australia,0,0,0,21,4
2021-11-28,Sweden,0,0,0,7,3
2021-11-29,Australia,0,0,0,21,4
2021-11-29,Sweden,0,0,0,7,3
2021-11-30,Australia,0,0,0,21,4
2021-11-30,Sweden,0,0,0,7,3
2021-12-01,Australia,0,0,0,21,4
2021-12-01,Sweden,0,0,0,7,3
2021-12-02,Australia,0,0,0,21,4
2021-12-02,Sweden,0,0,0,7,3
2021-12-03,Australia,0,0,0,21,4
2021-12-03,Sweden,0,0,0,7,3
2021-12-04,Australia,0,0,0,21,4
2021-12-04,Sweden,0,0,0,7,3
2021-12-05,Australia,0,0,0,21,4
2021-12-05,Sweden,0,0,0,7,3
2021-12-06,Australia,0,0,0,21,4
2021-12-06,Sweden,0,0,0,7,3
2021-12-07,Australia,2,0,0,19,4
2021-12-07,Sweden,1,0,0,6,3
2021-12-08,Australia,3,1,0,17,4
2021-12-08,Sweden,1,0,0,6,3
2021-12-09,Australia,3,1,0,17,4
2021-12-09,Sweden,1,0,0,6,3
2021-12-10,Australia,3,1,0,17,4
2021-12-10,Sweden,1,0,0,6,3
2021-12-11,Australia,4,1,0,16,4
2021-12-11,Sweden,1,0,0,6,3
2021-12-12,Australia,4,0,1,16,4
2021-12-12,Sweden,2,0,0,5,3
2021-12-13,Australia,3,2,1,15,4
2021-12-13,Sweden,1,1,0,5,3
2021-12-14,Australia,2,3,1,15,4
2021-12-14,Sweden,1,1,0,5,3
2021-12-15,Australia,1,4,1,15,4
2021-12-15,Sweden,0,2,0,5,3
2021-12-16,Australia,0,5,1,15,4
2021-12-16,Sweden,0,2,0,5,3
2021-12-17,Australia,0,3,2,16,4
2021-12-17,Sweden,0,1,1,5,3
2021-12-18,Australia,0,2,3,16,4
2021-12-18,Sweden,0,1,1,5,3
2021-12-19,Australia,0,1,4,16,4
2021-12-19,Sweden,1,0,1,5,3
2021-12-20,Australia,0,0,5,16,4
2021-12-20,Sweden,0,1,1,5,3
2021-12-21,Australia,0,0,5,16,4
2021-12-21,Sweden,0,1,1,5,3
2021-12-22,Australia,0,0,5,16,4
2021-12-22,Sweden,0,1,1,5,3
2021-12-23,Australia,0,0,5,16,4
2021-12-23,Sweden,0,1,1,5,3
2021-12-24,Australia,4,0,5,12,4
2021-12-24,Sweden,0,0,1,6,3
2021-12-25,Australia,4,2,5,10,4
2021-12-25,Sweden,0,0,1,6,3
2021-12-26,Australia,3,3,4,11,4
2021-12-26,Sweden,1,0,1,5,3
2021-12-27,Australia,2,5,4,10,4
2021-12-27,Sweden,0,1,1,5,3
2021-12-28,Australia,2,5,4,10,4
2021-12-28,Sweden,0,1,1,5,3
2021-12-29,Australia,2,3,4,12,4
2021-12-29,Sweden,0,1,1,5,3
2021-12-30,Australia,2,2,4,13,4
2021-12-30,Sweden,0,1,1,5,3
2021-12-31,Australia,2,1,5,12,5
2021-12-31,Sweden,0,0,1,6,3
2022-01-01,Australia,0,3,4,13,5
2022-01-01,Sweden,0,0,1,6,3
2022-01-02,Australia,0,3,3,14,5
2022-01-02,Sweden,0,0,1,6,3
2022-01-03,Australia,1,3,2,13,6
2022-01-03,Sweden,0,0,1,6,3
2022-01-04,Australia,0,3,2,14,6
2022-01-04,Sweden,0,0,1,6,3
2022-01-05,Australia,0,1,3,15,6
2022-01-05,Sweden,0,0,1,6,3
2022-01-06,Australia,0,1,3,15,6
2022-01-06,Sweden,1,0,1,5,3
2022-01-07,Australia,0,1,3,15,6
2022-01-07,Sweden,1,0,1,5,3
2022-01-08,Australia,2,0,4,13,6
2022-01-08,Sweden,1,0,1,5,3
2022-01-09,Australia,2,0,4,13,6
2022-01-09,Sweden,1,0,1,5,3
2022-01-10,Australia,2,1,4,12,6
2022-01-10,Sweden,1,0,1,5,3
2022-01-11,Australia,2,2,4,11,6
2022-01-11,Sweden,0,1,1,5,3
2022-01-12,Australia,3,2,4,10,6
2022-01-12,Sweden,0,1,1,5,3
2022-01-13,Australia,4,2,4,9,6
2022-01-13,Sweden,0,1,1,5,3
2022-01-14,Australia,3,2,2,12,6
2022-01-14,Sweden,0,1,0,6,3
2022-01-15,Australia,3,1,3,12,6
2022-01-15,Sweden,0,0,0,7,3
2022-01-16,Australia,3,1,3,12,6
2022-01-16,Sweden,0,0,0,7,3
2022-01-17,Australia,2,2,3,12,6
2022-01-17,Sweden,0,0,0,7,3
2022-01-18,Australia,1,2,4,12,6
2022-01-18,Sweden,0,0,0,7,3
2022-01-19,Australia,1,2,3,13,6
2022-01-19,Sweden,0,0,0,7,3
2022-01-20,Australia,1,2,3,13,6
2022-01-20,Sweden,0,0,0,7,3
2022-01-21,Australia,1,1,4,13,6
2022-01-21,Sweden,0,0,0,7,3
2022-01-22,Australia,1,0,4,14,6
2022-01-22,Sweden,0,0,0,7,3
2022-01-23,Australia,1,0,4,14,6
2022-01-23,Sweden,0,0,0,7,3
2022-01-24,Australia,0,1,4,14,6
2022-01-24,Sweden,0,0,0,7,3
2022-01-25,Australia,0,1,4,14,6
2022-01-25,Sweden,0,0,0,7,3
2022-01-26,Australia,0,1,4,14,6
2022-01-26,Sweden,0,0,0,7,3
2022-01-27,Australia,0,1,4,14,6
2022-01-27,Sweden,2,0,0,5,3
2022-01-28,Australia,0,0,4,15,6
2022-01-28,Sweden,2,0,0,5,3
2022-01-29,Australia,0,0,3,16,6
2022-01-29,Sweden,1,1,0,5,3
2022-01-30,Australia,0,0,3,16,6
2022-01-30,Sweden,1,1,0,5,3
2022-01-31,Australia,0,0,3,16,6
2022-01-31,Sweden,1,1,0,5,3
2022-02-01,Australia,0,0,2,17,6
2022-02-01,Sweden,1,1,0,5,3
2022-02-02,Australia,0,0,2,17,6
2022-02-02,Sweden,1,0,1,5,3
2022-02-03,Australia,0,0,2,17,6
2022-02-03,Sweden,1,0,1,5,3
2022-02-04,Australia,0,0,1,18,6
2022-02-04,Sweden,1,0,1,5,3
2022-02-05,Australia,0,0,0,19,6
2022-02-05,Sweden,1,0,1,5,3
2022-02-06,Australia,0,0,0,19,6
2022-02-06,Sweden,1,0,1,5,3
2022-02-07,Australia,0,0,0,19,6
2022-02-07,Sweden,1,0,1,5,3
2022-02-08,Australia,0,0,0,19,6
2022-02-08,Sweden,1,0,1,5,3
2022-02-09,Australia,0,0,0,19,6
2022-02-09,Sweden,1,0,1,5,3
2022-02-10,Australia,0,0,0,19,6
2022-02-10,Sweden,1,0,1,5,3
2022-02-11,Australia,0,0,0,19,6
2022-02-11,Sweden,1,0,1,5,3
2022-02-12,Australia,0,0,0,19,6
2022-02-12,Sweden,1,0,1,5,3
2022-02-13,Australia,0,0,0,19,6
2022-02-13,Sweden,0,1,1,5,3
2022-02-14,Australia,0,0,0,19,6
2022-02-14,Sweden,0,1,1,5,3
2022-02-15,Australia,0,0,0,19,6
2022-02-15,Sweden,0,1,1,5,3
2022-02-16,Australia,0,0,0,19,6
2022-02-16,Sweden,0,1,0,6,3
2022-02-17,Australia,0,0,0,19,6
2022-02-17,Sweden,0,0,1,6,3
2022-02-18,Australia,0,0,0,19,6
2022-02-18,Sweden,0,0,1,6,3
2022-02-19,Australia,0,0,0,19,6
